Muhasebe Dönemi,Fatura Abone Grubu,ETSO Kodu,Terim,AG/OG,TekZaman/Üç Zaman,Son Ödeme Tarihi,Fatura İptal Mi?,Fatura İptal Muhasebe Tarihi,T0 Kwh,Trafo Kaybı T0 Kwh,Ek Tüketim T0 Kwh,Toplam Kwh,Enerji Bedeli Toplam,Toplam Dağıtım Bedeli,Reaktif Bedel,Trafo Kaybı Bedeli (Gece+Gündüz+Puant),Trafo Kaybı Bedeli (Aktif),Güç Bedeli,Güç Aşım Bedeli,Enerji Fonu,Trt Bedeli ,Btv Bedeli,Fiyat Farkı,Kesme Açma Bedeli,Kurye Bedeli,Düzeltme Tutarı,KDV Matrahı,Kdv,Fatura Tutarı,İlk Okuma Tarihi,Son Okuma Tarihi,Tahakkuk Gün Sayısı,T0 İlk Endeks,T0 Son Endeks,T1 İlk Endeks,T1 Son Endeks,T2 İlk Endeks,T2 Son Endeks,T3 İlk Endeks,T3 Son Endeks,Induktif İlk Endeks,Induktif Son Endeks,Kapasitif İlk Endeks,Kapasitif Son Endeks,Tahakkuk Çarpanı,T0 Kwh,T1 Kwh,T2 Kwh,T3 Kwh,Reaktif Induktif Kwh,Reaktif Kapasitif Kwh,Demant,Fatura Döngü Kodu,Fatura Döngü Adı,Fatura Tamamlanma Tarihi,Fatura Tarihi
202511,Boş,40ZTEST000000001,,OG,Tek Zamanlı,10-12-25,Hayır,,0.00,0.00,0.00,0.00,-35.57,"53,337.25",0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.36,0.00,0.00,0.00,,"53,301.32","10,660.27","1,590,855.00",,,,,,,,,,,,,,,,"3,450.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,BC36,PTF+YEKDEM+LISANSIZ URETICI URETIM VE TUKETIM FARKLI BOLGE,05-12-2025,30-11-2025
202511,Kamu/Özel Sektör ve Diğer,40ZTEST000000002,Tek Terimli,AG,Tek Zamanlı,10-12-25,Hayır,,"2,612.71",0.00,0.00,"2,612.71","8,395.35","4,905.13",0.00,0.00,0.00,0.00,0.00,0.00,0.00,419.77,0.00,0.00,0.00,,"13,720.25","2,744.05","16,335.00",31-10-2025 00:00:00,30-11-2025 00:00:00,,"384,257.33","386,870.04","188,144.84","189,926.19","87,529.79","88,216.62","108,582.70","108,727.24",0.00,0.00,0.00,0.00,1.00,"2,612.71","1,781.35",686.83,144.53,0.00,0.00,12.41,SD03,PTF+YEKDEM,04-12-2025,30-11-2025
202511,Kamu/Özel Sektör ve Diğer,40ZTEST000000003,Tek Terimli,OG,Tek Zamanlı,10-12-25,Hayır,,"4,823.10",374.40,0.00,"5,197.50","16,813.43","8,190.27",0.00,0.00,"1,211.15",0.00,0.00,0.00,0.00,840.67,0.00,0.00,0.00,,"25,844.37","5,168.87","30,765.00",31-10-2025 00:00:00,30-11-2025 00:00:00,,"2,654.27","2,750.74","1,073.03","1,115.63",609.53,631.75,971.71,"1,003.36",21.92,23.00,38.82,38.84,50.00,"4,823.10","2,129.95","1,110.95","1,582.20",54.00,0.90,14.80,SD03,PTF+YEKDEM,04-12-2025,30-11-2025
202511,Kamu/Özel Sektör ve Diğer,40ZTEST000000004,Tek Terimli,AG,Tek Zamanlı,10-12-25,Hayır,,"3,250.64",0.00,0.00,"3,250.64","10,360.43","6,102.78",0.00,0.00,0.00,0.00,0.00,0.00,0.00,518.02,0.00,0.00,0.00,,"16,981.23","3,396.25","20,215.00",31-10-2025 00:00:00,30-11-2025 00:00:00,,"3,601.57","3,764.10","1,875.52","1,949.29",704.71,741.13,"1,021.34","1,073.68",41.45,43.07,7.79,8.10,20.00,"3,250.64","1,475.42",728.50,"1,046.72",32.42,6.26,12.48,SD03,PTF+YEKDEM,04-12-2025,30-11-2025
202511,Kamu/Özel Sektör ve Diğer,40ZTEST000000005,Çift Terimli,OG,Tek Zamanlı,10-12-25,Hayır,,"3,376.77",115.20,0.00,"3,491.97","10,974.17","4,411.38",0.00,0.00,362.04,650.55,0.00,0.00,0.00,548.71,0.00,0.00,0.00,,"16,584.81","3,316.96","19,745.00",31-10-2025 00:00:00,30-11-2025 00:00:00,,"73,497.67","76,874.44","35,386.88","37,031.56","19,434.98","20,306.93","18,675.80","19,535.95","7,179.42","7,693.58",91.74,97.03,1.00,"3,376.77","1,644.68",871.94,860.15,514.16,5.29,10.83,SD03,PTF+YEKDEM,04-12-2025,30-11-2025
202511,Kamu/Özel Sektör ve Diğer,40ZTEST000000006,Tek Terimli,OG,Tek Zamanlı,10-12-25,Hayır,,"14,642.44",165.60,0.00,"14,808.04","47,178.89","23,334.65",0.00,0.00,527.61,0.00,0.00,0.00,0.00,"2,358.94",0.00,0.00,0.00,,"72,872.48","14,574.50","86,755.00",31-10-2025 00:00:00,30-11-2025 00:00:00,,"279,106.88","293,749.32","135,307.76","142,710.65","62,104.33","65,334.46","81,694.79","85,704.22","16,448.42","17,413.78","1,295.08","1,296.83",1.00,"14,642.44","7,402.89","3,230.12","4,009.42",965.35,1.75,28.71,SD03,PTF+YEKDEM,04-12-2025,30-11-2025
202511,Kamu/Özel Sektör ve Diğer,40ZTEST000000007,Tek Terimli,AG,Tek Zamanlı,10-12-25,Hayır,,86.72,0.00,0.00,86.72,274.41,162.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.72,0.00,0.00,0.00,,450.94,90.19,535.00,31-10-2025 00:00:00,30-11-2025 00:00:00,,"51,997.54","52,084.26","18,502.15","18,533.70","11,933.17","11,951.65","21,562.22","21,598.91","2,884.85","2,891.57",65.56,72.65,1.00,86.72,31.55,18.48,36.70,6.72,7.09,0.16,SD03,PTF+YEKDEM,04-12-2025,30-11-2025
202511,Kamu/Özel Sektör ve Diğer,40ZTEST000000008,Tek Terimli,AG,Tek Zamanlı,10-12-25,Hayır,,"5,443.05",0.00,0.00,"5,443.05","17,444.69","10,218.84",0.00,0.00,0.00,0.00,0.00,0.00,0.00,872.23,0.00,0.00,0.00,,"28,535.76","5,707.15","33,975.00",31-10-2025 00:00:00,30-11-2025 00:00:00,,"5,611.89","5,720.75","2,461.30","2,509.75","1,552.19","1,584.51","1,598.40","1,626.49",115.43,116.40,392.13,401.66,50.00,"5,443.05","2,422.75","1,615.95","1,404.35",48.80,476.45,17.60,SD03,PTF+YEKDEM,04-12-2025,30-11-2025
202511,Kamu/Özel Sektör ve Diğer,40ZTEST000000009,Çift Terimli,OG,Tek Zamanlı,10-12-25,Hayır,,"17,192.39",0.00,0.00,"17,192.39","55,720.31","21,719.02",0.00,0.00,0.00,"17,348.01",0.00,0.00,0.00,"2,786.02",0.00,0.00,0.00,,"97,573.36","19,514.67","116,160.00",31-10-2025 00:00:00,30-11-2025 00:00:00,,"50,748.96","50,765.57","23,927.05","23,934.28","10,669.23","10,674.15","16,152.69","16,157.14","2,733.88","2,736.39",276.92,276.93,"1,035.00","17,192.39","7,488.23","5,097.38","4,606.79","2,599.92",2.07,290.84,SD03,PTF+YEKDEM,04-12-2025,30-11-2025
202511,Kamu/Özel Sektör ve Diğer,40ZTEST000000010,Tek Terimli,AG,Tek Zamanlı,10-12-25,Hayır,,"19,743.04",0.00,0.00,"19,743.04","63,190.57","37,065.78",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,159.53",0.00,0.00,0.00,,"103,415.88","20,683.18","123,120.00",31-10-2025 00:00:00,30-11-2025 00:00:00,,"8,975.49","9,469.07","4,062.89","4,339.96","2,189.11","2,318.91","2,723.49","2,810.20",920.34,955.89,5.81,5.99,40.00,"19,743.04","11,082.68","5,192.04","3,468.32","1,422.12",6.92,38.88,SD03,PTF+YEKDEM,04-12-2025,30-11-2025
